Student_ID,Arrival_Time,Registration_Start_Time,Registration_End_Time,Waiting_Time_Min,Service_Time_Min,Queue_Length,Registration_Type,Staff_ID,Document_Status,Room_Type,Registration_Status
S001,9:00,9:00,9:04,0,4,0,Renewal,ST01,Complete,Shared,Completed
S002,9:02,9:02,9:05,0,3,0,Renewal,ST02,Complete,Single,Completed
S003,9:06,9:06,9:16,0,10,0,New Registration,ST01,Complete,Shared,Completed
S004,9:07,9:07,9:13,0,6,0,Renewal,ST02,Complete,Shared,Completed
S005,9:09,9:13,9:20,4,7,0,New Registration,ST02,Complete,Single,Completed
S006,9:13,9:16,9:24,3,8,0,New Registration,ST01,Complete,Single,Completed
S007,9:14,9:20,9:30,6,10,1,New Registration,ST02,Complete,Single,Completed
S008,9:17,9:24,9:30,7,6,1,Renewal,ST01,Complete,Shared,Completed
S009,9:18,9:30,9:35,12,5,2,Renewal,ST01,Complete,Shared,Completed
S010,9:20,9:30,9:35,10,5,2,Renewal,ST02,Complete,Shared,Completed
S011,9:21,9:35,9:42,14,7,3,Temporary Stay,ST01,Complete,Shared,Completed
S012,9:24,9:35,9:41,11,6,3,New Registration,ST02,Complete,Shared,Completed
S013,9:26,9:41,9:49,15,8,4,New Registration,ST02,Complete,Shared,Completed
S014,9:28,9:42,9:46,14,4,5,Renewal,ST01,Complete,Single,Completed
S015,9:29,9:46,9:51,17,5,6,Renewal,ST01,Complete,Shared,Completed
S016,9:31,9:49,9:55,18,6,5,Renewal,ST02,Complete,Single,Completed
S017,9:33,9:51,9:59,18,8,6,New Registration,ST01,Complete,Shared,Completed
S018,9:37,9:55,10:00,18,5,5,Temporary Stay,ST02,Complete,Shared,Completed
S019,9:41,9:59,10:06,18,7,5,New Registration,ST01,Complete,Shared,Completed
S020,9:45,10:00,10:06,15,6,5,Renewal,ST02,Complete,Shared,Completed
S021,9:48,10:06,10:10,18,4,5,Temporary Stay,ST01,Complete,Shared,Completed
S022,9:51,10:06,10:10,15,4,4,Renewal,ST02,Complete,Shared,Completed
S023,9:55,10:10,10:20,15,10,4,New Registration,ST01,Complete,Shared,Completed
S024,9:57,10:10,10:20,13,10,5,New Registration,ST02,Complete,Shared,Completed
S025,9:59,10:20,10:30,21,10,5,New Registration,ST01,Complete,Shared,Completed
S026,10:00,10:20,10:25,20,5,5,Renewal,ST02,Complete,Shared,Completed
S027,10:03,10:25,10:31,22,6,6,New Registration,ST02,Complete,Shared,Completed
S028,10:04,10:30,10:34,26,4,7,Renewal,ST01,Complete,Single,Completed
S029,10:06,10:31,10:39,25,8,6,Renewal,ST02,Incomplete,Shared,Delayed
S030,10:08,10:34,10:39,26,5,7,Renewal,ST01,Complete,Shared,Completed
S031,10:12,10:39,10:43,27,4,6,Temporary Stay,ST01,Complete,Shared,Completed
S032,10:15,10:39,10:45,24,6,7,New Registration,ST02,Complete,Shared,Completed
S033,10:16,10:43,10:46,27,3,8,Renewal,ST01,Complete,Shared,Completed
S034,10:19,10:45,10:52,26,7,9,New Registration,ST02,Complete,Shared,Completed
S035,10:21,10:46,10:53,25,7,8,Renewal,ST01,Incomplete,Shared,Delayed
S036,10:23,10:52,11:01,29,9,9,New Registration,ST02,Complete,Shared,Completed
S037,10:27,10:53,10:57,26,4,9,Temporary Stay,ST01,Complete,Shared,Completed
S038,10:28,10:57,11:04,29,7,10,New Registration,ST01,Complete,Single,Completed
S039,10:30,11:01,11:09,31,8,10,New Registration,ST02,Complete,Shared,Completed
S040,10:34,11:04,11:16,30,12,9,New Registration,ST01,Incomplete,Shared,Pending
S041,10:35,11:09,11:17,34,8,10,Temporary Stay,ST02,Incomplete,Single,Delayed
S042,10:37,11:16,11:23,39,7,11,Temporary Stay,ST01,Incomplete,Shared,Delayed
S043,10:41,11:17,11:27,36,10,10,New Registration,ST02,Complete,Shared,Completed
S044,10:45,11:23,11:33,38,10,9,New Registration,ST01,Complete,Single,Completed
S045,10:46,11:27,11:31,41,4,9,Renewal,ST02,Complete,Shared,Completed
S046,10:47,11:31,11:35,44,4,10,Temporary Stay,ST02,Complete,Shared,Completed
S047,10:49,11:33,11:47,44,14,11,New Registration,ST01,Incomplete,Shared,Pending
S048,10:50,11:35,11:43,45,8,12,New Registration,ST02,Complete,Shared,Completed
S049,10:52,11:43,11:47,51,4,12,Renewal,ST02,Complete,Shared,Completed
S050,10:55,11:47,11:56,52,9,12,New Registration,ST01,Incomplete,Single,Delayed
